,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
n 117,Aaron ,,,"1500 years before Jesus, Moses' older brother Aaron helped him lead the Israelites out of Egypt. God later appointed Aaron to be the first high or chief priest in Israel. ",,,"Since these are brief definitions of key terms to help with translation, they do not have to be enclopedic in scope, nor to provide bible verses. (My sentences in parentheses remain optional.)",,,,,,,,,,,,,,,,,,,,,,,,
n 102,Abel,,Abel (W),"Around 4000 years before Jesus, Adam's and Eve's first two sons were named Cain and Abel. Cain did not honour God, but Abel did. After God reproved Cain, Cain grew angry and killed his brother Abel.",,,In violation of my previous rationale.,,,,,,,,,,,,,,,,,,,,,,,,
t,Abimelech,king,,The Philistines called their kings Abimelech.,"Caesar, Pharaoh, king",,,,,,,,,,,,,,,,,,,,,,,,,,
n 117,Abraham ,,Ibraayma (W),"Abraham lived around 2000 years before Jesus. Because he believed God's promises, God declared him to be righteous. He also changed his name from Abram, which means Exalted Father, to Abraham, which means Father of many nations. Although his wife Sarai had no children, God promised that he would become an ancestor of many tribes and nations. And so he became the ancestor of all the Israelites and of other nations.",Abram,,GC 07-Feb-19,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Abram,,Ibraam (W),Abram was the man whom God later called Abraham when he made a covenant with him. Abram's wife was called Sarai whom God later renamed Sarah. (The name Abram means High or Exalted Father.),Abraham,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Absalom,,,"Absalom was the third son of King David. His mother was Maacah. He was his father's favourite son. His name means Father of peace. But he was not a peaceful man; he killed David's first son, Amnon, and later rebelled against David and overthrew him to become king. Absalom died when he and some men fought against David's soldiers.
",,,GC 07-Feb-19,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Achaia,,,Achaia was a Roman province in the southern part of Greece. The cities of Athens and Corinth were in it.,,,,"GC 7/7/2019, rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
n,Achan,,,"Achan was an Israelite man who stole gold, silver and clothes that belonged to the Lord. When the Lord identified him as the sinner, the Lord told Joshua and the Israelites to kill Achan and his whole family by throwing stones at them.  This was for the purpose of making the other people fear doing bad things lest they also suffer similar consequences.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Adam,,Aadama (W),"Adam lived about 4000 years before Jesus. Adam was the first human being whom God created. Because Adam and his wife Eve disobeyed God, all human beings must die. The Bible calls Jesus the Second Adam, because Jesus gives eternal life to human beings. ",Eve,,"The concept of transmitted sin remains pure theology, whereas Scripture relates Adam to human death, even for those who have not sinned in the same way as did Adam.",,,,,,,,,,,,,,,,,,,,,,,,
n,Adonijah,,,"Adonijah was one of King David's younger sons. When David was old, Adonijah tried to become king, but David declared that Solomon must become king. (The name Adonijah means My Lord is the LORD.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
