, term -Hindi,Alternate forms and synonyms.- Hindi,Other language examples (back translations),Meaning notes. Definitions. - Hindi,Related (but different) terms - Hindi,,,,,,,,,,,,,,,,,,,,,,,
n,??????,,Ibraam (W),?????? ?? ??????? ?? ???? ???????? ?? ??? ??? ??????? ??? ?? ???? ???? ??? ???? ?????? ?????? ?? ????? ?? ??? ???? ?? ????? ??? ??? ??? ???????? ?? ???? ??? (?????? ??? ?? ???? ?? ???? ?????),????????,,,,,,,,,,,,,,,,,,,,,,,
n,???????,,,"??????? ???? ???? ?? ???? ????? ????? ?? ????? ???? ?? ??? ?? ??? ????, ?? ?? ???? ????? ?? ?? ???? ???? ???? ?? ?????? ???????????? ?? ?????? ?? ?? ?? ?? ?? ??? ??? ???? ?? ??????? ?? ??????? ?????(??????? ??? ?? ???? ?? ????? ?? ?????)",,,,,,,,,,,,,,,,,,,,,,,,
n,???????,,,??????? ???? ???? ?? ????? ????? ?? ????? ???? ???? ??? ???????? ?? ???? ?? ???? ???? ?????? ?? ??? ???? ?? ??? ??? ???? ?? ??????? ??????? ????(??????? ??? ?? ???? ?? ????? ?? ?????),,,,,,,,,,,,,,,,,,,,,,,,
n,????,,,????? ??????? ????? ??? ?? ?????? ?? ?,,,,,,,,,,,,,,,,,,,,,,,,
n,???? ,,,"???? ?? ???????? ??????? ?? ????? ????? ?? ????, ????? ?? ???????? ?? ???? ???? ?? ??? ????? ?? ??? ???? ?? ??? ??? ??????, ?? ????? ?? ????? ?? ??????????? ?? ??? ?? ?? ???? ?? ???? ???? ?????? ????? ???? ??? ???? ? ???? ???????? ????? ????? ?? ???? ??? ???? ?? ????? ?? ???? ?????? ?? ??? ??? ?? ?????? ?????? ?? ???? ??? ? ",,,,,,,,,,,,,,,,,,,,,,,,
n,???,,Aadama (W),"???  ????? ???? ???? ?? ???? 4000 ???? ????? ????? ?? ???? ???? ????? ?? ???? ???????? ?? ????? ???????? ??? ?? ???? ????? ????? ?? ???????? ?? ????? ??????? ??, ????? ??? ???????? ?? ???? ???? ?????? ???? ?? ????? ??? ???? ??, ??????? ???? ???????? ?? ????? ???? ???? ???",?????,,,,,,,,,,,,,,,,,,,,,,,
n,??????????,,,"?????????? ???? ???? ?? ???? ??????? ??? ?? ?? ??? ?? ???? ????? ?? ???, ?? ?????????? ?? ???? ???? ?? ????? ??, ????? ???? ?? ????? ?? ?? ??????? ?? ???? ???? ????? (?????????? ??? ?? ???? ?? ???? ????? ?? ????? ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,?????????? ,"????,??????,??????",,?????-????? ??????? ?? ?? ????? ???? ?? ???? ????? ?? ??????????? ?? ?? ???? ????? ?? ??? ???? ???? ?? ??? ?? ??? ?? ???,,,,,,,,,,,,,,,,,,,,,,,,
n,?????????,"????,??????,??????",,"???? ??????? ?? ????, ?????????, ""??????? ?? ????"" ?????? ???? ????? ??????? ??? ???????? ???? 41 ?? 44 ?? ??? ???? ?????? ?? ???? ???? ????? ?? ??? ?? ??????? ??? ????? ?? ????? ??? ?",,,,,,,,,,,,,,,,,,,,,,,,
n,????????,,,"?? ????? ?? ??? ???????? ??? ?? ?????? ??????? ??? ??????????? ??, ????? ???? ??, ?? ?? ??????? ??? ???? ??? (????? ??? ?? ???? ????? ?? ??? ???)",,,,,,,,,,,,,,,,,,,,,,,,
