,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts
n 117,हारुन,,,"येशूभन्दा १५०० वर्ष पहिले, मोशाका जेठा दाई हारूनले उनलाई इस्राएलीहरूलाई मिश्रबाट बाहिर निकाल्न मद्दत गरे। पछि परमेश्वरले हारूनलाई इस्राएलको पहिलो उच्च वा मुख्य पुजारी नियुक्त गर्नुभयो।",,,"Since these are brief definitions of key terms to help with translation, they do not have to be enclopedic in scope, nor to provide bible verses. (My sentences in parentheses remain optional.)",
n 102,हाबिल,, हाबिल(W),"वर्ष पहिले, आदम र हव्वाका पहिलो दुई छोराहरूको नाम कयिन र हाबिल राखिएको थियो। कयिनले परमेश्वरको सम्मान गरेनन्, तर हाबिलले गरे। परमेश्वरले कयिनलाई बिन्ती गरेपछि कयिन रिसाए र आफ्नो भाइ हाबिललाई मारे।",,,In violation of my previous rationale.,
t,अबीमेलेक, राजा,,"पलिश्तीहरूले आफ्ना राजाहरूलाई अबीमेलेक भनेर बोलाउथे।




","कैसर, फारो,राजा ",,,
n 117,अब्राहाम,, ईब्राय्मा(W)," अब्राम येशूभन्दा लगभग २००० वर्ष पहिले बाँचेका थिए। किनभने अब्रामले परमेश्वरका प्रतिज्ञाहरूमा विश्वास गरे, परमेश्वरले उनलाई धर्मी घोषणा गर्नुभयो र उनको नाम अब्राहाममा परिवर्तन गरिदिनु भएको थियो जसको अर्थ ""धेरै राष्ट्रहरूका पिता"" हो। (यद्यपि अब्राहामकी पत्नी साराईका कुनै सन्तान थिएनन्, परमेश्वरले अब्राहामलाई धेरै कुल र राष्ट्रहरूका पूर्वज बन्ने प्रतिज्ञा गर्नुभयो।) अब्राहाम सबै इस्राएलीहरू र अन्य राष्ट्रहरूका पूर्वज बने। (अब्राम नामको अर्थ धेरैका पिता हो।)",अब्राम,,GC 07-Feb-19,
n,अब्राम,,ईब्राम (W),अब्राम त्यो मानिस थिए जसलाई परमेश्वरले पछि अब्राहाम भनेर बोलाउनु भयो जब उहाँले उनीसँग एउटा करार गर्नुभयो। अब्रामकी पत्नीलाई साराई भनिन्थ्यो जसलाई परमेश्वरले पछि सारा नाम दिनुभयो। (अब्राम नामको अर्थ उच्च वा उच्च पिता हो।),अब्राहाम,,GC 07-Feb-19,
n,अब्शालोम,,,")अब्शालोम राजा दाऊदका प्रिय छोरा थिए। उनले आफ्ना एक भाइलाई मारे, र दाऊद जीवित हुँदा उनले राजा बन्ने प्रयास गरे। जब अब्शालोम र केही मानिसहरूले दाऊदका सिपाहीहरू विरुद्ध युद्ध गरे तब उनको मृत्यु भयो। (अब्शालोम नामको अर्थ शान्तिका पिता हो।",,,GC 07-Feb-19,
n,अब्शालोम,अब्शोलोम,,"अबशालोम राजा दाऊदका तेस्रो छोरा थिए। उनकी आमा माकाह थिइन्। अब्शालोमले दाऊदको पहिलो छोरा अम्नोनलाई मारे र पछि दाऊदको विरुद्धमा विद्रोह गरे। (अब्शालोम नामको अर्थ शान्तिका पिता हो।




",,,GC 08-Mar-2019,
n,अखैँया,,,अखैया पश्चिमी ग्रीसको एउटा प्रान्त थियो।,,,,GC 7/7/2019
n,आकान,,," आकान एक इस्राएली मानिस थिए जसले सुन, चाँदी र प्रभुको लुगा चोरेका थिए। जब परमप्रभुले उनलाई पापीको रूपमा चिन्नुभयो, परमप्रभुले यहोशू र इस्राएलीहरूलाई आकान र उनको सम्पूर्ण परिवारलाई ढुङ्गाले हानेर मार्न भन्नुभयो। यो अरू मानिसहरूलाई नराम्रो काम गर्न डराउने उद्देश्यका लागि थियो ताकि उनीहरूले पनि यस्तै परिणाम भोग्न नपरोस्।",,,GC 07-Feb-19,
n,आदम,, आदामा (W)," आदम येशूभन्दा लगभग ४००० वर्ष पहिले बाँचेका थिए। आदम पहिलो मानिस थिए जसलाई परमेश्वरले सृष्टि गर्नुभयो। किनकि आदम र उनकी पत्नी हव्वाले परमेश्वरको अवज्ञा गरे, सबै मानिसहरूले मर्नु पर्छ। बाइबलले येशूलाई दोस्रो आदम भन्छ, किनकि येशूले मानिसहरूलाई अनन्त जीवन दिनुहुन्छ।", हव्वा,,"The concept of transmitted sin remains pure theology, whereas Scripture relates Adam to human death, even for those who have not sinned in the same way as did Adam.",
