,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
n 117,Arão,,,"1.500 anos antes de Jesus, o irmão mais velho de Moisés, Arão, o ajudou a liderar os israelitas para fora do Egito. Mais tarde, Deus designou Arão para ser o primeiro sumo ou sumo sacerdote em Israel.",,,"Since these are brief definitions of key terms to help with translation, they do not have to be enclopedic in scope, nor to provide bible verses. (My sentences in parentheses remain optional.)",,,,,,,,,,,,,,,,,,,,,,,,
n 102,Abel,,Abel (W),"Cerca de 4000 anos antes de Jesus, os dois primeiros filhos de Adão e Eva chamavam-se Caim e Abel. Caim não honrou a Deus, mas Abel sim. Depois que Deus reprovou Caim, Caim ficou com raiva e matou seu irmão Abel.",,,In violation of my previous rationale.,,,,,,,,,,,,,,,,,,,,,,,,
t,Abimeleque,rei,,Os filisteus chamavam seus reis pelo título Abimeleque,"César, Faraó, rei",,,,,,,,,,,,,,,,,,,,,,,,,,
n 117,Abraão,,Ibraayma (W),"Abrão viveu cerca de 2.000 anos antes de Jesus. Porque Abrão acreditou nas promessas de Deus, Deus o declarou justo e mudou seu nome para Abraão, que significa ""Pai de muitas nações"". (Embora a esposa de Abrão, Sarai, não tivesse filhos, Deus prometeu a Abrão que ele se tornaria um ancestral de muitas tribos e nações.) Abraão tornou-se o ancestral de todos os israelitas e de outras nações. (O nome Abrão significa Pai de Muitos.)",Abrão,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Abrão,,Ibraam (W),"Abrão foi o homem a quem Deus mais tarde chamou de Abraão quando fez uma aliança com ele. A esposa de Abrão chamava-se Sarai, a quem Deus mais tarde renomeou como Sara. (O nome Abrão significa Grande Pai ou Pai Exaltado.)",Abraão,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Absalão,,,Absalão era o filho favorito do rei Davi. Ele matou um de seus irmãos e tentou se tornar rei enquanto Davi ainda estava vivo. Absalão morreu quando ele e alguns homens lutaram contra os soldados de Davi. (O nome Absalão significa Pai da Paz.),,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Absalão,Absalão,,"Absalão era o terceiro filho do rei Davi. Sua mãe era Maacá. Absalão matou o primeiro filho de Davi, Amnom, e depois se rebelou contra Davi. (O nome Absalão significa Pai da paz.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Acaia,,,Acaia era o nome de uma província localizada na região ocidental da Grécia,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Acã,,,"Acã era um homem israelita que roubou ouro, prata e roupas que pertenciam ao Senhor. Quando o Senhor o identificou como o pecador, o Senhor disse a Josué e aos israelitas para que matassem Acã e toda a sua família atirando pedras neles. Isso tinha o propósito de fazer com que as outras pessoas temessem fazer coisas ruins, para que também não sofressem consequências semelhantes.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Adão,,Aadama (W),"Adão viveu cerca de 4.000 anos antes de Jesus. Adão foi o primeiro ser humano criado por Deus. Porque Adão e sua esposa Eva desobedeceram a Deus, todos os seres humanos devem morrer. A Bíblia chama Jesus de Segundo Adão, porque Jesus dá a vida eterna aos seres humanos.",Eva,,"The concept of transmitted sin remains pure theology, whereas Scripture relates Adam to human death, even for those who have not sinned in the same way as did Adam.",,,,,,,,,,,,,,,,,,,,,,,,
n,Adonias,,,"Adonias era um dos filhos mais novos do rei Davi. Quando Davi estava velho, Adonias tentou se tornar rei, mas Davi declarou que Salomão deveria se tornar rei. (O nome Adonias significa Meu Senhor é o SENHOR.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Adoni-Zedeque,,,Adoni-Zedeque era um rei cananeu de Jerusalém que Josué e os israelitas capturaram e mataram após uma longa batalha.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,acordo,acordos,conversa de ligação; promessa de como agir; suas palavras não eram diferentes (eram as mesmas que) das palavras dos outros (G);,"Quando duas pessoas ou países prometem ajudar um ao outro, eles falam ou escrevem um acordo que diz o que farão.","aliança, promessa",binding talk; promise how to act,GC 08-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Agripa,,,"Agripa, neto do rei Herodes, foi o último homem a ser chamado de ""Rei da Judéia"". Ele governou entre os anos 41 e 44 sob a autoridade romana. Certa vez, ele foi ouvir Paulo na cidade de Cesaréia.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Aías,,,"Vários homens foram nomeados Aías. Um era profeta no norte de Israel, um outro, rei, e ainda outro sacerdote em Jerusalém. (O nome Aías significa Irmão do Senhor.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Ai,,,Ai era uma cidade cananéia cheia de pessoas que adoravam deuses pagãos. Deus revelou um plano a Josué que ajudou o exército israelita a capturar Ai e destruí-la como sacrifício a Deus.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,alabastro,,que era feito de pedra (R);,Alabastro é um tipo macio de rocha da qual as pessoas podem esculpir frascos e jarros.,,,"Some call this 'soap stone.' In careful English, rock = material, and stone = clump of rock.",,,,,,,,,,,,,,,,,,,,,,,,
t,aliança,"alianças, aliado, aliados, aliado","se tornar o amigo de (G); lutar do mesmo lado
","Quando dois países ou exércitos concordam em entrar em guerra contra um inimigo, eles estão em uma aliança.",,fight on the same side,GC 08-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,aloés,aloé,"perfume (W);
algo que contém um bom cheiro e se chama aloé (R) ","As plantas de aloés têm seiva, que é usada para fazer creme para a pele ou remédio.
Aloés é uma seiva de cheiro doce da madeira, usada para fazer perfume.",,"Aloe plants have sap, which is used to make skin cream or medicine.",Usage will be evident in each context.,,,,,,,,,,,,,,,,,,,,,,,,
t,Alfa,,"primeiro; começo (P);
Alpa (K)","Alfa é a primeira letra do alfabeto grego. Isto se parece com um"". O livro do Apocalipse chama Jesus de Alfa, porque ele é o Deus que criou (quem começou) tudo de bom.",Ômega,,,,,,,,,,,,,,,,,,,,,,,,,,
t,altar,altares,"mesa/plataforma de sacrifício; lugar de corte; lugar para oferta (de algo); lugar de cozinhar uma oferta (R); onde os sacrifícios são feitos (P, W);","Um altar é uma mesa ou plataforma bruta feita de pedras (empilhadas) ou de metal, sobre a qual as pessoas oferecem sacrifícios a Deus. Deus ordenou a Israel que fizesse um altar em sua tenda de adoração e, posteriormente, em seu templo em Jerusalém.","sacrifício, adoração",,"Refer to encyclopedias for the history of altars, to anthropology for the pagan use of altars, and to church tradition for ecclesial use of altars. Believers have an altar in heaven: Jesus.",,,,,,,,,,,,,,,,,,,,,,,,
t,amém,,"amin; que assim seja (P, W);
é verdadeiro;
aamen (R)","Amém é uma palavra hebraica que significa sim, é verdade, eu creio, ou que assim seja",,,Good as is.,,,,,,,,,,,,,,,,,,,,,,,,
