,term,Alternate forms and synonyms. (separate w commas),Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts
n 117,అహరోను,,,"యేసుకు 1500 సంవత్సరాల ముందు, మోషే అన్నయ్య అయిన అహరోను ఇశ్రాయేలీయులను ఐగుప్తు నుండి బయటకు నడిపించడంలో అతనికి సహాయం చేశాడు. తరువాత దేవుడు అహరోనును ఇశ్రాయేలులో మొదటి ప్రధాన యాజకుడిగా నియమించాడు.",,,"Since these are brief definitions of key terms to help with translation, they do not have to be enclopedic in scope, nor to provide bible verses. (My sentences in parentheses remain optional.)",
n 102,హేబెలు,,హేబెలు (W),"యేసు జన్మించడానికి దాదాపు 4000 సంవత్సరాల ముందు, ఆదాము మరియు హవ్వల మొదటి ఇద్దరు కుమారులకు కయీను మరియు హేబెలు అని పేర్లు పెట్టారు. కయీను దేవుణ్ణి గౌరవించలేదు, కానీ హేబెలు గౌరవించాడు. దేవుడు కయీనును గద్దించిన తర్వాత, కయీను కోపం తెచ్చుకుని తన తమ్ముడు హేబెలును చంపాడు.",,,In violation of my previous rationale.,
t,అబీమెలెకు,రాజు,,ఫిలిష్తీయులు తమ రాజులను అబిమెలెకు అని పిలిచేవారు,"కైసరు, ఫరో, రాజు",,,
n 117,అబ్రహాము ,,ఇబ్రయిమా (పశ్చిమ),"అబ్రాము యేసుకు దాదాపు 2000 సంవత్సరాల ముందు జీవించాడు. అబ్రాము దేవుని వాగ్దానాలను నమ్మినందున, దేవుడు అతన్ని నీతిమంతుడిగా ప్రకటించాడు మరియు అతని పేరును అబ్రాహాముగా మార్చాడు, అంటే 'అనేక దేశాలకు తండ్రి'. (అబ్రాము భార్య శారయికి పిల్లలు లేకపోయినప్పటికీ, దేవుడు అబ్రాముకు అనేక తెగలు మరియు దేశాలకు పూర్వీకుడు అవుతాడని వాగ్దానం చేశాడు.) అబ్రాము ఇశ్రాయేలీయులందరికీ మరియు ఇతర దేశాలకు పూర్వీకుడయ్యాడు. (అబ్రాము అనే పేరు అంటే అనేక దేశాలకు తండ్రి అని అర్థం.)",అబ్రామ్,,GC 07-Feb-19,
n,అబ్రాము,,అబ్రాము (పశ్చిమ),"దేవుడు అబ్రాముతో నిబంధన చేసినప్పుడు, ఆయనకు అబ్రహాము అని పేరు పెట్టాడు. అబ్రాము భార్య పేరు శారాయి, దేవుడు తర్వాత ఆమెకు శారా అని పేరు పెట్టాడు. (అబ్రాము అనే పేరుకు ఉన్నతమైన లేదా ఘనమైన తండ్రి అని అర్థం.)",అబ్రహం,,GC 07-Feb-19,
n,అబ్షాలోము,,,"అబ్షాలోము రాజు దావీదుకు అత్యంత ఇష్టమైన కుమారుడు. అతను తన సోదరులలో ఒకరిని చంపాడు, మరియు దావీదు బ్రతికి ఉండగానే రాజు కావడానికి ప్రయత్నించాడు. అబ్షాలోము తన అనుచరులతో కలిసి దావీదు సైనికులతో పోరాడుతున్నప్పుడు మరణించాడు. (అబ్షాలోము అనే పేరుకు 'శాంతికి తండ్రి' అని అర్థం.)",,,GC 07-Feb-19,
n,అబ్షాలోము,అబ్సలోం,,"అబ్షాలోము రాజు దావీదు యొక్క మూడవ కుమారుడు. అతని తల్లి మయకా. అబ్షాలోము దావీదు యొక్క మొదటి కుమారుడైన ఆమ్నోనును చంపి, ఆ తర్వాత దావీదుకు వ్యతిరేకంగా తిరుగుబాటు చేశాడు. (అబ్షాలోము అనే పేరుకు 'శాంతికి తండ్రి' అని అర్థం.)",,,GC 08-Mar-2019,
n,అఖైయా,,,అఖైయా పశ్చిమ గ్రీస్‌లోని ఒక ప్రావిన్స్.,,,,GC 7/7/2019
n,ఆకాను,,,"ఆకాను అనే ఒక ఇశ్రాయేలీయుడు యెహోవాకు చెందిన బంగారాన్ని, వెండిని మరియు బట్టలను దొంగిలించాడు. యెహోవా అతడిని పాపిగా గుర్తించినప్పుడు, ఆకానును మరియు అతని కుటుంబం మొత్తాన్ని రాళ్లతో కొట్టి చంపమని యెహోవా యెహోషువకు మరియు ఇశ్రాయేలీయులకు ఆజ్ఞాపించాడు. ఇతరులు కూడా ఇలాంటి పర్యవసానాలనే ఎదుర్కోవలసి వస్తుందేమోనని భయపడి, చెడు పనులు చేయకుండా ఉండేలా చేయడానికి ఇది చేయబడింది.",,,GC 07-Feb-19,
n,ఆదాము,,ఆదామా (పశ్చిమ),"ఆదాము యేసుకు సుమారు 4000 సంవత్సరాల ముందు జీవించాడు. దేవుడు సృష్టించిన మొదటి మానవుడు ఆదాము. ఆదాము మరియు అతని భార్య హవ్వ దేవుని ఆజ్ఞను ధిక్కరించినందువల్ల, మానవులందరూ మరణించవలసి వచ్చింది. యేసు మానవులకు నిత్యజీవాన్ని ప్రసాదిస్తాడు కాబట్టి, బైబిలు యేసును రెండవ ఆదాము అని పిలుస్తుంది.",ఈవ్,,"The concept of transmitted sin remains pure theology, whereas Scripture relates Adam to human death, even for those who have not sinned in the same way as did Adam.",
n,అదోనియా,,,"అదోనియా రాజు దావీదు యొక్క చిన్న కుమారులలో ఒకడు. దావీదు వృద్ధుడైనప్పుడు, అదోనియా రాజు కావడానికి ప్రయత్నించాడు, కానీ దావీదు సొలొమోను రాజు కావాలని ప్రకటించాడు. (అదోనియా అనే పేరుకు 'నా ప్రభువు యెహోవా' అని అర్థం.)",,,GC 07-Feb-19,
n,అదోని-బెజెకు,,,అదోని-బెజెకు యెరూషలేముకు చెందిన ఒక కనానీయుల రాజు. సుదీర్ఘ యుద్ధం తర్వాత యెహోషువ మరియు ఇశ్రాయేలీయులు అతన్ని పట్టుకుని మరణశిక్ష విధించారు.,,,,GC 7/7/2019
t,ఒప్పందం,ఒప్పందాలు, కట్టుబడి మాట్లాడటం; ఎలా వ్యవహరించాలో వాగ్దానం చేయడం; అతని మాటలు మరొకరి మాటలకు భిన్నంగా లేవు (G);,"ఇద్దరు వ్యక్తులు లేదా రెండు దేశాలు ఒకరికొకరు సహాయం చేసుకోవడానికి వాగ్దానం చేసుకున్నప్పుడు, వారు తాము ఏమి చేస్తారో తెలియజేస్తూ ఒక ఒప్పందాన్ని మాట్లాడుకుంటారు లేదా వ్రాసుకుంటారు.","నిబంధన, వాగ్దానం",binding talk; promise how to act,GC 08-Feb-2019,
n,అగ్రిప్ప,,,"హేరోదు రాజు మనవడైన అగ్రిప్ప, 'యూదయ రాజు' అని పిలువబడిన చివరి వ్యక్తి. అతను క్రీ.శ. 41 మరియు 44 సంవత్సరాల మధ్య రోమన్ల అధికారం కింద పరిపాలించాడు. ఒకసారి అతను కైసరియాలో పౌలు ప్రసంగాన్ని వినడానికి వచ్చాడు.",,,,GC 7/7/2019
n,అహీయా,,,"అనేకమందికి అహీయా అని పేరు పెట్టారు. ఒకరు ఉత్తర ఇశ్రాయేలులో ప్రవక్త, మరొకరు రాజు, మరొకరు యెరూషలేములో యాజకుడు. (అహీయా అనే పేరుకు ప్రభువు సోదరుడు అని అర్థం.)",,,GC 19-Feb-2019,
n,హాయి,,,హాయి అనేది అన్య దేవుళ్లను ఆరాధించే ప్రజలతో నిండిన కనానీయుల నగరం. ఇశ్రాయేలు సైన్యం హాయిని స్వాధీనం చేసుకుని దానిని నాశనం చేసి దేవునికి బలిగా అర్పించడానికి సహాయపడిన ఒక ప్రణాళికను దేవుడు యెహోషువకు వెల్లడించాడు.,,,GC 07-Feb-19,
t,అలబాస్టర్,,ఇది రాతితో చేయబడింది (R),"అలబాస్టర్ అనేది ఒక మెత్తని రకమైన రాయి, దీని నుండి ప్రజలు సీసాలు మరియు జాడీలను చెక్కగలరు.",,,"Some call this 'soap stone.' In careful English, rock = material, and stone = clump of rock.",
t,కూటమి,"పొత్తులు, మిత్రపక్షం, మిత్రపక్షాలు, పొత్తులు", (G) కి స్నేహితుడిగా మారడానికి; ఒకే వైపు పోరాడండి,"రెండు దేశాలు లేదా సైన్యాలు ఒక శత్రువుపై యుద్ధం చేయడానికి అంగీకరించినప్పుడు, అవి కూటమిలో ఉన్నాయని అంటారు.",,fight on the same side,GC 08-Feb-2019,
t,కలబంద మొక్క,కలబంద,పెర్ఫ్యూమ్ (W); మంచి వాసన వచ్చే ఒక వస్తువును ఆలో (R) అంటారు.,"కలబంద మొక్కలలో రసం ఉంటుంది, దీనిని చర్మం క్రీమ్ లేదా మందులు తయారు చేయడానికి ఉపయోగిస్తారు. అగరు అనేది చెక్క నుండి లభించే సువాసనగల రసం, దీనిని పరిమళ ద్రవ్యాలు తయారు చేయడానికి ఉపయోగిస్తారు.",,"Aloe plants have sap, which is used to make skin cream or medicine.",Usage will be evident in each context.,
t,ఆల్ఫా,,మొదటిది; ప్రారంభం (P); ఆల్పా (K),"ఆల్ఫా అనేది గ్రీకు వర్ణమాలలోని మొదటి అక్షరం. అది 'A' లాగా ఉంటుంది. ప్రకటన గ్రంథం యేసును ఆల్ఫా అని పిలుస్తుంది, ఎందుకంటే ఆయన మంచిదైన ప్రతిదాన్నీ సృష్టించిన (మొదటగా ప్రారంభించిన) దేవుడు.",ఒమేగా,,,
t,బలిపీఠం,బలిపీఠాలు,"బలి బల్ల/వేదిక; ముక్కలు చేసే స్థలం; నైవేద్యం పెట్టే స్థలం (ఏదో); వంట బహుమతి/నైవేద్యం పెట్టే వేదిక (R); త్యాగాలు చేసే స్థలం (P, W);","బలిపీఠం అనేది రాళ్లతో పేర్చిన లేదా లోహంతో చేసిన ఒక బల్ల లేదా గరుకైన వేదిక, దానిపై ప్రజలు దేవునికి బలులు అర్పిస్తారు. దేవుడు ఇశ్రాయేలీయులను వారి ఆరాధన గుడారంలో, ఆ తర్వాత యెరూషలేములోని వారి దేవాలయంలో ఒక బలిపీఠాన్ని నిర్మించమని ఆజ్ఞాపించాడు."," త్యాగం, పూజ",,"Refer to encyclopedias for the history of altars, to anthropology for the pagan use of altars, and to church tradition for ecclesial use of altars. Believers have an altar in heaven: Jesus.",
t,ఆమెన్,,"అమీన్; అది కావచ్చు (P, W); ఇది నిజమే!; ఆమేన్ (R)","ఆమెన్ అనేది ఒక హీబ్రూ పదం, దీని అర్థం అవును, అది నిజం, నేను దానిని నమ్ముతున్నాను, లేదా అలానే జరుగుగాక.",,,Good as is.,
n,అమ్మోను,"అమ్మోనీయులు, అమ్మోనీయులు",,"అమ్మోను అబ్రహాము మేనల్లుడైన లోతు కుమారుడు. లోతు కుమార్తె అతనికి మత్తు కలిగించి, అతనితో శయనించినప్పుడు అమ్మోను జన్మించాడు. అమ్మోను వంశస్థులే అమ్మోనీయులు అయ్యారు, వీరు కొన్నిసార్లు ఇశ్రాయేలీయులకు శత్రువులుగా ఉండేవారు. వారు విగ్రహాలను పూజించేవారు.",,,GC 07-Feb-19,
n,అమ్నోను,,,"అమ్నోను రాజు దావీదు యొక్క మొదటి కుమారుడు. అమ్నోను దావీదు కుమార్తె అయిన తామారుపై అత్యాచారం చేసిన తర్వాత, ఆమె సోదరుడైన అబ్షాలోము అమ్నోనును చంపేశాడు. (అమ్నోను అనే పేరుకు 'విశ్వసనీయుడు' అని అర్థం.)",,,GC 08-Mar-2019,
n,అననీయ,,,కొత్త నిబంధనలో అననీయ అనే పేరు గల ముగ్గురు వ్యక్తులు ఉన్నారు: (1) దేవునికి అబద్ధం చెప్పినప్పుడు మరణించిన యెరూషలేములోని ఒక క్రైస్తవుడు; (2) సౌలుకు బాప్తిస్మం ఇచ్చిన దమస్కులోని ఒక క్రైస్తవుడు; (3) మరియు యేసు అపొస్తలులను వ్యతిరేకించిన యెరూషలేములోని ఒక ప్రధాన యాజకుడు. (అననీయ అనే పేరుకు 'ప్రభువు జవాబిస్తాడు' అని అర్థం.),,,GC 19-Feb-2019,
